Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Dixon,model,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Melekhova et al. (2017) CMP 172:98,10.1007/s00410-017-1416-3,Basaltic andesite,"St Kitts, Antilles",Natural,SIMS,SIMS,IHPV,Run1#1,1025,5,A,2400,,NR,5.9,0.2,A,16,1,A,50.76,0.17,A,17.53,0.17,A,3.23,0.13,A,3.73,0.05,A,7.95,0.17,A,0.87,0.02,A,7.98,0.2,A,0.21,0.01,A,0.45,0.03,A,0.11,0.04,A,,,ND,-0.3,NNO,,,,,ND,,,,F,92.82,54.68648998,3.964662788,x,#de8f05,N,N,N,N,N,MagmaSat,2333.4,131.0194681,0.993804411,0.000685657,0.006195589,0.000685657
Melekhova et al. (2017) CMP 172:98,10.1007/s00410-017-1416-3,Basaltic andesite,"St Kitts, Antilles",Natural,SIMS,SIMS,IHPV,Run1#2,1025,5,A,2400,,NR,3.8,0.1,A,813,10,A,53.73,0.21,A,16.59,0.17,A,4.21,0.2,A,2.89,0.11,A,6.39,0.15,A,1.2,0.03,A,8.73,0.21,A,0.23,0.01,A,0.66,0.04,A,0.24,0.04,A,,,ND,0.3,NNO,,,,,ND,,,,T,94.87,56.6353958,5.13334036,x,#de8f05,N,N,N,N,N,MagmaSat,2435.9,46.86311465,0.579596474,0.013108713,0.420403526,0.013108713
Melekhova et al. (2017) CMP 172:98,10.1007/s00410-017-1416-3,Basaltic andesite,"St Kitts, Antilles",Natural,SIMS,SIMS,IHPV,Run2#1,1000,5,A,2400,,NR,6,0.2,A,16,11,A,51.1,0.31,A,17.67,0.13,A,3.24,0.08,A,3.63,0.11,A,7.77,0.1,A,0.88,0.02,A,7.69,0.13,A,0.21,0.02,A,0.45,0.02,A,0.12,0.03,A,,,ND,-0.2,NNO,,,,,ND,,,,T,92.76,55.08840017,3.978007762,x,#de8f05,N,N,N,N,N,MagmaSat,2373.6,134.2959193,0.993569257,0.004054274,0.006430743,0.004054274
Melekhova et al. (2017) CMP 172:98,10.1007/s00410-017-1416-3,Andesite,"St Kitts, Antilles",Natural,SIMS,SIMS,IHPV,Run3#1,975,5,A,2400,,NR,6.3,0.1,A,30,26,A,55.04,0.31,A,17.37,0.4,A,3.39,0.19,A,2.39,0.11,A,6.23,0.25,A,0.64,0.03,A,6.37,0.16,A,0.22,0.01,A,0.58,0.03,A,0.19,0.03,A,,,ND,-0.1,NNO,,,,,ND,,,,F,92.42,59.55420905,4.295607011,square,#029e73,N,N,N,N,N,MagmaSat,2433.2,79.70754625,0.987815422,0.009287934,0.012184578,0.009287934
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,AH2_1,1250,10,A,5000,50,A,10.07,0.11,A,0,,NR,49.65,0.65,A,14.99,0.37,A,4.63,0.3,A,5.49,0.19,A,11.41,0.37,A,0.84,0.02,A,7.76,0.57,A,0.06,0.08,A,4.63,0.3,A,,,ND,0.67,,NR,,,,,1,,,0,,CALC,T,99.46,49.91956565,9.310275488,square,#fbafe4,Y,Y,N,N,N,MagmaSat,6135.3,227.5182532,1,0,0,0
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,AH2_2,1250,10,A,5000,50,A,8.32,0.11,A,3300,200,A,49.65,0.65,A,14.99,0.37,A,4.63,0.3,A,5.49,0.19,A,11.41,0.37,A,0.84,0.02,A,7.76,0.57,A,0.06,0.08,A,4.63,0.3,A,,,ND,0.64,,NR,,,,,0.79,,,0.21,,CALC,F,99.46,49.91956565,9.310275488,square,#fbafe4,Y,N,N,N,N,MagmaSat,5745.7,285.1838145,0.86332224,0.011231703,0.13667776,0.011231703
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,AH2_3,1250,10,A,5000,50,A,5.79,0.09,A,7900,400,A,49.65,0.65,A,14.99,0.37,A,4.63,0.3,A,5.49,0.19,A,11.41,0.37,A,0.84,0.02,A,7.76,0.57,A,0.06,0.08,A,4.63,0.3,A,,,ND,0.61,,NR,,,,,0.52,,,0.48,,CALC,F,99.46,49.91956565,9.310275488,square,#fbafe4,Y,N,N,N,N,MagmaSat,6021.6,478.0341055,0.564118541,0.017729762,0.435881459,0.017729762
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,AH2_4,1250,10,A,5000,50,A,2.25,0.09,A,9000,500,A,49.65,0.65,A,14.99,0.37,A,4.63,0.3,A,5.49,0.19,A,11.41,0.37,A,0.84,0.02,A,7.76,0.57,A,0.06,0.08,A,4.63,0.3,A,,,ND,0.34,,NR,,,,,0.17,,,0.83,,CALC,F,99.46,49.91956565,9.310275488,square,#fbafe4,Y,N,N,N,N,MagmaSat,4804.2,518.5803854,0.161593811,0.01384936,0.838406189,0.01384936
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,AH2_5,1250,10,A,5000,50,A,1.09,0.1,A,8900,500,A,49.65,0.65,A,14.99,0.37,A,4.63,0.3,A,5.49,0.19,A,11.41,0.37,A,0.84,0.02,A,7.76,0.57,A,0.06,0.08,A,4.63,0.3,A,,,ND,0.29,,NR,,,,,0.08,,,0.92,,CALC,F,99.46,49.91956565,9.310275488,square,#fbafe4,Y,N,N,N,N,MagmaSat,4615.6,539.7124562,0.049795616,0.008663157,0.950204384,0.008663157
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,AH3_1,1250,10,A,5000,50,A,9.9,0.1,A,0,,NR,50.99,0.65,A,15.54,0.3,A,7.23,0.36,A,6.03,0.34,A,11.32,0.33,A,0.87,0.05,A,7.77,0.044,A,0.04,0.07,A,1.89,0.08,A,,,ND,0.68,,NR,,,,,1,,,0,,CALC,F,101.68,50.14752164,8.9693155,square,#fbafe4,Y,Y,N,N,N,MagmaSat,5833,178.0733024,1,0,0,0
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,AH3_2,1250,10,A,5000,50,A,8.59,0.08,A,4600,300,A,50.99,0.65,A,15.54,0.3,A,7.23,0.36,A,6.03,0.34,A,11.32,0.33,A,0.87,0.05,A,7.77,0.044,A,0.04,0.07,A,1.89,0.08,A,,,ND,0.67,,NR,,,,,0.85,,,0.15,,CALC,T,101.68,50.14752164,8.9693155,square,#fbafe4,Y,N,N,N,N,MagmaSat,6321.1,300.0366813,0.848109374,0.012072995,0.151890626,0.012072995
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,AH3_3,1250,10,A,5000,50,A,6.97,0.08,A,8300,500,A,50.99,0.65,A,15.54,0.3,A,7.23,0.36,A,6.03,0.34,A,11.32,0.33,A,0.87,0.05,A,7.77,0.044,A,0.04,0.07,A,1.89,0.08,A,,,ND,0.63,,NR,,,,,0.64,,,0.36,,CALC,F,101.68,50.14752164,8.9693155,square,#fbafe4,Y,N,N,N,N,MagmaSat,6421.4,330.5795951,0.670308417,0.014122127,0.329691583,0.014122127
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,AH3_4,1250,10,A,5000,50,A,3.73,0.07,A,10900,600,A,50.99,0.65,A,15.54,0.3,A,7.23,0.36,A,6.03,0.34,A,11.32,0.33,A,0.87,0.05,A,7.77,0.044,A,0.04,0.07,A,1.89,0.08,A,,,ND,0.54,,NR,,,,,0.3,,,0.7,,CALC,F,101.68,50.14752164,8.9693155,square,#fbafe4,Y,N,N,N,N,MagmaSat,5906.8,581.6432313,0.314893163,0.017744745,0.685106837,0.017744745
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,AH3_5,1250,10,A,5000,50,A,1.2,0.07,A,10700,600,A,50.99,0.65,A,15.54,0.3,A,7.23,0.36,A,6.03,0.34,A,11.32,0.33,A,0.87,0.05,A,7.77,0.044,A,0.04,0.07,A,1.89,0.08,A,,,ND,0.28,,NR,,,,,0.06,,,0.94,,CALC,F,101.68,50.14752164,8.9693155,square,#fbafe4,Y,N,N,N,N,MagmaSat,4833.5,639.2978709,0.055503361,0.006675889,0.944496639,0.006675889
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Basaltic trachyandesite,"Vulcano, Italy",Synthetic,KFT,FTIR,IHPV,SHO-11,1250,10,A,5000,50,A,9.7,0.06,A,0,,NR,53.47,,NR,15.48,,NR,3.66,,NR,4.88,,NR,8.51,,NR,0.71,,NR,8.39,,NR,0.16,,NR,4.72,,NR,,,ND,0.53,,NR,,,,,1,,,0,,CALC,F,99.98,53.48069614,8.381676335,circle,#949494,Y,Y,N,N,N,MagmaSat,5992.1,109.5472316,1,0,0,0
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Basaltic trachyandesite,"Vulcano, Italy",Synthetic,KFT,FTIR,IHPV,SHO-12,1250,10,A,5000,50,A,7.25,0.05,A,3100,100,A,53.47,,NR,15.48,,NR,3.66,,NR,4.88,,NR,8.51,,NR,0.71,,NR,8.39,,NR,0.16,,NR,4.72,,NR,,,ND,0.51,,NR,,,,,0.71,,,0.29,,CALC,T,99.98,53.48069614,8.381676335,circle,#949494,Y,N,N,N,N,MagmaSat,6258.7,132.1894493,0.745536836,0.006433911,0.254463164,0.006433911
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Basaltic trachyandesite,"Vulcano, Italy",Synthetic,KFT,FTIR,IHPV,SHO-13,1250,10,A,5000,50,A,5.82,0.04,A,4200,200,A,53.47,,NR,15.48,,NR,3.66,,NR,4.88,,NR,8.51,,NR,0.71,,NR,8.39,,NR,0.16,,NR,4.72,,NR,,,ND,0.39,,NR,,,,,0.24,,,0.76,,CALC,F,99.98,53.48069614,8.381676335,circle,#949494,Y,N,N,N,N,MagmaSat,6128.8,180.0127942,0.579224655,0.009848818,0.420775345,0.009848818
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Basaltic trachyandesite,"Vulcano, Italy",Synthetic,KFT,FTIR,IHPV,SHO-14,1250,10,A,5000,50,A,3.03,0.05,A,4500,200,A,53.47,,NR,15.48,,NR,3.66,,NR,4.88,,NR,8.51,,NR,0.71,,NR,8.39,,NR,0.16,,NR,4.72,,NR,,,ND,0.26,,NR,,,,,0.13,,,0.87,,CALC,F,99.98,53.48069614,8.381676335,circle,#949494,Y,N,N,N,N,MagmaSat,5156.9,195.5654583,0.262169307,0.008907112,0.737830693,0.008907112
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Trachyandesite,"Lipari, Italy",Synthetic,KFT,FTIR,IHPV,LAT-1,1250,10,A,5000,50,A,10.19,0.13,A,0,,NR,58.29,,NR,16.5,,NR,4.08,,NR,2.23,,NR,5.14,,NR,0.52,,NR,6.92,,NR,0.11,,NR,5.36,,NR,,,ND,0.56,,NR,,,,,1,,,0,,CALC,F,99.15,58.78971256,9.520927887,circle,#ca9161,Y,Y,N,N,N,MagmaSat,6282.8,177.3148771,1,0,0,0
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Trachyandesite,"Lipari, Italy",Synthetic,KFT,FTIR,IHPV,LAT-2,1250,10,A,5000,50,A,8.04,0.1,A,1400,0,A,58.29,,NR,16.5,,NR,4.08,,NR,2.23,,NR,5.14,,NR,0.52,,NR,6.92,,NR,0.11,,NR,5.36,,NR,,,ND,0.52,,NR,,,,,0.47,,,0.53,,CALC,F,99.15,58.78971256,9.520927887,circle,#ca9161,Y,N,N,N,N,MagmaSat,5865,101.3793755,0.832916012,0.004694282,0.167083988,0.004694282
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Trachyandesite,"Lipari, Italy",Synthetic,KFT,FTIR,IHPV,LAT-3,1250,10,A,5000,50,A,6.04,0.06,A,2500,100,A,58.29,,NR,16.5,,NR,4.08,,NR,2.23,,NR,5.14,,NR,0.52,,NR,6.92,,NR,0.11,,NR,5.36,,NR,,,ND,0.5,,NR,,,,,0.21,,,0.79,,CALC,F,99.15,58.78971256,9.520927887,circle,#ca9161,Y,N,N,N,N,MagmaSat,5797.4,122.8337137,0.613390873,0.008396512,0.386609127,0.008396512
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Trachyandesite,"Lipari, Italy",Synthetic,KFT,FTIR,IHPV,LAT-4,1250,10,A,5000,50,A,3.31,0.05,A,2800,100,A,58.29,,NR,16.5,,NR,4.08,,NR,2.23,,NR,5.14,,NR,0.52,,NR,6.92,,NR,0.11,,NR,5.36,,NR,,,ND,0.33,,NR,,,,,0.2,,,0.8,,CALC,T,99.15,58.78971256,9.520927887,circle,#ca9161,Y,N,N,N,N,MagmaSat,4930.2,136.7958,0.300194029,0.008685847,0.699805971,0.008685847
Vetere et al. (2014) CMP 167:1014,10.1007/s00410-014-1014-6,Trachyandesite,"Lipari, Italy",Synthetic,KFT,FTIR,IHPV,LAT-5,1250,10,A,5000,50,A,1.1,0.06,A,2900,100,A,58.29,,NR,16.5,,NR,4.08,,NR,2.23,,NR,5.14,,NR,0.52,,NR,6.92,,NR,0.11,,NR,5.36,,NR,,,ND,0.23,,NR,,,,,0.05,,,0.95,,CALC,F,99.15,58.78971256,9.520927887,circle,#ca9161,Y,N,N,N,N,MagmaSat,4831.5,165.4584998,0.049877034,0.004765055,0.950122966,0.004765055
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,F05,1200,5,A,520,20,A,2.29,0.19,A,0,0,A,44.37,0.33,A,14.94,0.2,A,3.83,0.07,A,7.92,0.09,A,10.62,0.11,A,3.5,0.23,A,12.39,0.21,A,0.16,0.13,A,1.54,0.11,A,0.72,0.19,A,,,ND,1.4,NNO,,NR,1,,NR,0,,NR,F,99.99,44.37443744,5.370537054,circle,#ece133,N,N,N,N,N,MagmaSat,672.2,95.95432415,1,0,0,0
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,F1a,1200,5,A,1000,20,A,3.37,0.26,A,0,0,A,45.96,0.3,A,15.43,0.08,A,3.5,0.08,A,7.84,0.12,A,10.57,0.04,A,3.5,0.14,A,10.71,0.21,A,0.2,0.07,A,1.42,0.07,A,0.86,0.15,A,,,ND,3.18,NNO,,NR,1,,NR,0,,NR,F,99.99,45.96459646,4.920492049,circle,#ece133,N,N,N,N,N,MagmaSat,1222.7,149.4762236,1,0,0,0
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,F1c,1200,5,A,1080,20,A,3.25,0.17,A,0,0,A,44.27,0.26,A,15.03,0.13,A,3.84,0.09,A,7.95,0.07,A,10.52,0.11,A,3.55,0.19,A,12.35,0.26,A,0.24,0.1,A,1.6,0.09,A,0.64,0.13,A,,,ND,1.44,NNO,,NR,1,,NR,0,,NR,T,99.99,44.27442744,5.440544054,circle,#ece133,N,N,N,N,N,MagmaSat,1189.3,112.0809141,1,0,0,0
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,F2a,1200,5,A,2100,20,A,4.82,0.35,A,0,0,A,45.5,0.26,A,15.41,0.15,A,3.74,0.07,A,7.75,0.08,A,10.68,0.13,A,3.56,0.1,A,10.67,0.22,A,0.16,0.07,A,1.64,0.07,A,0.9,0.11,A,,,ND,3.25,NNO,,NR,1,,NR,0,,NR,F,100.01,45.49545045,5.379462054,circle,#ece133,N,N,N,N,N,MagmaSat,2154.4,238.5449156,1,0,0,0
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,F2b,1200,5,A,2100,20,A,5.03,0.27,A,0,0,A,44.74,0.32,A,14.98,0.14,A,3.79,0.15,A,7.99,0.1,A,10.55,0.13,A,3.49,0.13,A,11.86,0.27,A,0.25,0.08,A,1.59,0.1,A,0.75,0.13,A,,,ND,1.38,NNO,,NR,1,,NR,0,,NR,F,99.99,44.74447445,5.380538054,circle,#ece133,N,N,N,N,N,MagmaSat,2334,196.2836537,1,0,0,0
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,F3a,1200,5,A,2920,20,A,6.14,0.32,A,0,0,A,47.91,0.22,A,16.03,0.18,A,3.71,0.11,A,7.7,0.06,A,10.88,0.08,A,3.14,0.16,A,7.93,0.22,A,0.13,0.06,A,1.73,0.07,A,0.83,0.13,A,,,ND,3.18,NNO,,NR,1,,NR,0,,NR,T,99.99,47.91479148,5.440544054,circle,#ece133,N,N,N,N,N,MagmaSat,2936.6,230.4462952,1,0,0,0
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,F3c2,1200,5,A,3190,20,A,6.17,0.38,A,0,0,A,44.9,0.21,A,15.12,0.15,A,3.2,0.13,A,7.87,0.13,A,10.81,0.15,A,3.75,0.2,A,11.9,0.15,A,0.18,0.1,A,1.54,0.13,A,0.71,0.17,A,,,ND,1.34,NNO,,NR,1,,NR,0,,NR,F,99.98,44.9089818,4.74094819,circle,#ece133,N,N,N,N,N,MagmaSat,3437.2,313.1239791,1,0,0,0
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,F4a,1200,5,A,4110,20,A,7.35,0.48,A,0,0,A,48.21,0.29,A,16.16,0.11,A,3.24,0.13,A,7.88,0.06,A,11.37,0.06,A,3.04,0.11,A,7.41,0.15,A,0.1,0.05,A,1.65,0.06,A,0.93,0.16,A,,,ND,3.22,NNO,,NR,1,,NR,0,,NR,F,99.99,48.21482148,4.890489049,circle,#ece133,N,N,N,N,N,MagmaSat,3944,479.8253049,1,0,0,0
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,EA,FTIR,IHPV,F4b,1200,5,A,3970,20,A,7.26,0.35,A,0,0,A,44.6,0.28,A,15.12,0.16,A,3.99,0.12,A,7.77,0.14,A,10.67,0.17,A,3.54,0.18,A,11.82,0.23,A,0.2,0.08,A,1.63,0.09,A,0.67,0.13,A,,,ND,1.2,NNO,,NR,1,,NR,0,,NR,F,100.01,44.59554045,5.619438056,circle,#ece133,N,N,N,N,N,MagmaSat,4174.7,350.1960634,1,0,0,0
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,FC05,1200,5,A,600,20,A,1.19,0.1,A,484,35,A,45.01,0.31,A,15.24,0.23,A,3.89,0.1,A,7.99,0.06,A,10.71,0.12,A,3.58,0.11,A,10.93,0.35,A,0.21,0.12,A,1.69,0.1,A,0.74,0.15,A,,,ND,0.37,NNO,,NR,0.266,,NR,0.734,,NR,F,99.99,45.01450145,5.580558056,circle,#ece133,N,N,N,N,N,MagmaSat,591.9,43.84764716,0.417775977,0.039625207,0.582224023,0.039625207
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,FC1c,1200,5,A,1130,20,A,1.49,0.12,A,1205,55,A,45.18,0.32,A,15.37,0.14,A,3.96,0.07,A,8.1,0.08,A,10.72,0.13,A,3.62,0.18,A,10.51,0.36,A,0.21,0.09,A,1.58,0.09,A,0.77,0.17,A,,,ND,0.14,NNO,,NR,0.214,,NR,0.786,,NR,T,100.02,45.17096581,5.538892222,circle,#ece133,N,N,N,N,N,MagmaSat,1229,65.18815038,0.316915543,0.036344254,0.683084457,0.036344254
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,FC2b,1200,5,A,2100,20,A,1.7,0.14,A,2713,138,A,45.51,0.33,A,15.38,0.3,A,3.92,0.12,A,8.2,0.15,A,10.77,0.09,A,3.69,0.16,A,9.97,0.27,A,0.13,0.1,A,1.64,0.1,A,0.79,0.09,A,,,ND,-0.3,NNO,,NR,0.145,,NR,0.855,,NR,F,100,45.51,5.56,circle,#ece133,N,N,N,N,N,MagmaSat,2328.4,139.8174856,0.230266852,0.027119282,0.769733148,0.027119282
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,FC3b,1200,5,A,2940,20,A,1.72,0.11,A,4209,169,A,45.21,0.32,A,15.39,0.14,A,4,0.07,A,8.12,0.08,A,10.77,0.13,A,3.55,0.18,A,10.5,0.36,A,0.21,0.09,A,1.61,0.09,A,0.65,0.17,A,,,ND,-0.73,NNO,,NR,0.102,,NR,0.898,,NR,F,100.01,45.20547945,5.609439056,circle,#ece133,N,N,N,N,N,MagmaSat,3045.7,173.5735806,0.188022181,0.021461805,0.811977819,0.021461805
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,FC4b,1200,5,A,3970,20,A,1.84,0.13,A,5748,287,A,45.85,0.33,A,15.54,0.3,A,3.98,0.12,A,8.12,0.15,A,10.71,0.09,A,3.58,0.16,A,9.69,0.27,A,0.18,0.1,A,1.61,0.1,A,0.75,0.09,A,,,ND,-1,NNO,,NR,0.08,,NR,0.92,,NR,F,100.01,45.84541546,5.589441056,circle,#ece133,N,N,N,N,N,MagmaSat,4162.7,228.4592884,0.163345546,0.017766419,0.836654454,0.017766419
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G05,1200,5,A,520,20,A,2.35,0.25,A,0,,NR,48.46,0.25,A,17.82,0.2,A,5.18,0.1,A,4.03,0.08,A,8.6,0.07,A,2.93,0.22,A,9.47,0.26,A,0.2,0.08,A,2.19,0.11,A,1.11,0.15,A,,,ND,1.4,NNO,,NR,1,,NR,0,,NR,T,99.99,48.46484648,7.370737074,cross,#fbafe4,N,N,N,N,N,MagmaSat,610,101.414242,1,0,0,0
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G1a,1200,5,A,1000,20,A,3.36,0.24,A,0,,NR,48.74,0.39,A,18.07,0.24,A,5.14,0.16,A,3.98,0.07,A,8.65,0.17,A,2.98,0.22,A,8.8,0.27,A,0.24,0.1,A,2.22,0.14,A,1.2,0.19,A,,,ND,3.18,NNO,,NR,1,,NR,0,,NR,F,100.02,48.73025395,7.358528294,cross,#fbafe4,N,N,N,N,N,MagmaSat,1024.4,115.3853447,1,0,0,0
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G1b,1200,5,A,1080,20,A,3.67,0.23,A,0,,NR,49.11,0.35,A,17.98,0.16,A,4.48,0.29,A,4.01,0.09,A,8.59,0.09,A,3,0.13,A,9.31,0.21,A,0.17,0.06,A,2.27,0.08,A,1.07,0.13,A,,,ND,1.44,NNO,,NR,1,,NR,0,,NR,F,99.99,49.11491149,6.750675068,cross,#fbafe4,N,N,N,N,N,MagmaSat,1238.6,110.0414981,1,0,0,0
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G2a,1200,5,A,2100,20,A,5.12,0.3,A,0,,NR,48.88,0.2,A,18,0.2,A,5.02,0.24,A,4,0.08,A,8.62,0.11,A,3.05,0.2,A,8.89,0.2,A,0.19,0.05,A,2.23,0.12,A,1.11,0.2,A,,,ND,3.25,NNO,,NR,1,,NR,0,,NR,F,99.99,48.88488849,7.250725073,cross,#fbafe4,N,N,N,N,N,MagmaSat,2060.7,199.5057276,1,0,0,0
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G2b,1200,5,A,2070,20,A,5.24,0.52,A,0,,NR,48.16,0.18,A,17.61,0.23,A,5.31,0.09,A,4.05,0.06,A,8.62,0.08,A,3.11,0.16,A,9.41,0.2,A,0.2,0.07,A,2.15,0.1,A,1.38,0.13,A,,,ND,1.38,NNO,,NR,1,,NR,0,,NR,T,100,48.16,7.46,cross,#fbafe4,N,N,N,N,N,MagmaSat,2160.9,311.9994011,1,0,0,0
Jiménez-Mejías et al. (2021) CR Géos. 353:289-314,10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G3a,1200,5,A,2910,20,A,6.32,0.34,A,0,,NR,50.48,0.39,A,18.49,0.16,A,5.27,0.12,A,3.93,0.08,A,8.81,0.11,A,2.74,0.09,A,6.65,0.19,A,0.14,0.08,A,2.38,0.13,A,1.13,0.13,A,,,ND,3.18,NNO,,NR,1,,NR,0,,NR,F,100.02,50.46990602,7.648470306,cross,#fbafe4,N,N,N,N,N,MagmaSat,2708.7,233.6303521,1,0,0,0
