Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Dixon,model,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A81,1200,5,A,2000,50,A,1.78,0.28,A,1570,170,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,6.624,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.09,0.27,A,0.91,0.27,CALC,F,99.434,57.766961,4.958062635,diamond,#029e73,Y,N,Y,N,N,MagmaSat,2850.6,282.9598965,0.171754129,0.044234313,0.828245871,0.044234313
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A78,1200,5,A,2000,50,A,1.27,0.07,A,2230,230,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,5.544,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.27,0.26,A,0.73,0.26,CALC,F,98.354,58.40128515,5.012505846,diamond,#029e73,Y,N,Y,N,N,MagmaSat,4048,469.3149962,0.072150279,0.008232194,0.927849721,0.008232194
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A93,1200,5,A,5000,50,A,7.81,0.28,A,3300,340,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.47,0.17,A,0.53,0.17,CALC,T,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N,MagmaSat,7467.7,392.4099459,0.705472665,0.025636399,0.294527335,0.025636399
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A94,1200,5,A,5000,50,A,4.05,0.07,A,4030,420,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.29,0.22,A,0.71,0.22,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N,MagmaSat,6726.1,586.4116095,0.326481719,0.019476523,0.673518281,0.019476523
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A96,1200,5,A,5000,50,A,2.24,0.09,A,4140,430,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.22,0.19,A,0.78,0.19,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N,MagmaSat,6911.9,590.1629547,0.131297602,0.011328117,0.868702398,0.011328117
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A89,1200,5,A,5000,50,A,1.26,0.07,A,3700,370,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,6.048,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.05,0.26,A,0.95,0.26,CALC,F,98.858,58.10354245,4.98695098,diamond,#029e73,Y,N,Y,N,N,MagmaSat,6545.5,593.8495796,0.051362083,0.005918913,0.948637917,0.005918913
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A90,1100,5,A,2000,50,A,2.99,0.06,A,1580,180,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.51,0.37,A,0.49,0.37,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N,MagmaSat,3244.4,275.9604715,0.346353148,0.022563622,0.653646852,0.022563622
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A91,1100,5,A,2000,50,A,2,0.14,A,1800,190,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.28,0.2,A,0.72,0.2,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N,MagmaSat,3369.4,264.715666,0.180559619,0.020844263,0.819440381,0.020844263
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A98,1100,5,A,5000,50,A,7.72,0.24,A,4540,470,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.53,0.14,A,0.47,0.14,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N,MagmaSat,8246.6,378.162009,0.636066576,0.022672765,0.363933424,0.022672765
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A99,1100,5,A,5000,50,A,4.56,0.12,A,4290,440,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.34,0.23,A,0.66,0.23,CALC,T,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N,MagmaSat,7083,523.3005201,0.367188741,0.02071588,0.632811259,0.02071588
