Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Solwcad,model option,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech57,1100,10,A,5000,50,A,3.91,0.113137085,A,2510,250,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.374,0.025,A,0.606,0.035,A,F,1.52,0.08,2.39,0.08,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,5281.476556,340.6953139,0.364752272,0.015531081,0.635247728,0.015531081
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,KFT,FTIR,IHPV,Ech11,1100,10,A,5000,50,A,4.83,0.11,A,2330,150,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.471,0.017,A,0.509,0.028,A,F,,,,,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,5186.121169,192.5667066,0.464652219,0.013439292,0.535347781,0.013439292
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech22,1100,10,A,5000,50,A,5.09,0.15,A,2320,180,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.48,0.014,A,0.5,0.026,A,F,1.6,0.09,3.49,0.12,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,5240.695044,236.1556002,0.489331356,0.017427011,0.510668644,0.017427011
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech56,1100,10,A,5000,50,A,5.21,0.15,A,2200,80,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.558,0.021,A,0.422,0.031,A,F,1.62,0.09,3.59,0.12,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,5119.99895,106.3608574,0.50719276,0.014976591,0.49280724,0.014976591
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech61,1100,10,A,5000,50,A,6.53,0.183575598,A,1770,90,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.672,0.016,A,0.308,0.027,A,F,1.65,0.09,4.88,0.16,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,4940.253229,119.2285072,0.646567619,0.016022306,0.353432381,0.016022306
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,FTIR,IHPV,Ech24,1100,10,A,5000,50,A,6.7,0.192353841,A,1920,130,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.682,0.012,A,0.298,0.024,A,T,1.67,0.09,5.03,0.17,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,5157.256572,158.4138753,0.646281265,0.017687246,0.353718735,0.017687246
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,KFT,FTIR,IHPV,Ech41,1100,10,A,5000,50,A,7.25,0.07,A,1670,190,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.734,0.011,A,0.246,0.023,A,F,1.66,0.09,5.38,0.18,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,5052.990733,204.7403517,0.705035615,0.016364675,0.294964385,0.016364675
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,KFT,FTIR,IHPV,Ech36,1100,10,A,5000,50,A,8.96,0.07,A,940,70,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,0.837,0.009,A,0.143,0.022,A,F,1.6,0.09,6.59,0.22,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,4977.98026,81.41347201,0.85821232,0.008084643,0.14178768,0.008084643
Tamic et al. (2001),10.1016/S0009-2541(00)00324-7,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,KFT,ND,IHPV,Ech49,1100,10,A,5000,50,A,11.04,0.06,A,0,0,A,77.04,0.77,A,12.76,0.13,A,4.07,0.2,A,0.08,0.01,A,0.58,0.06,A,0.11,0.01,A,0.68,0.07,A,0.07,0.01,A,4.79,0.24,A,,,ND,,,,,,,,1,,NR,0,,NR,F,1.86,0.12,8.73,0.31,100.18,76.90157716,8.844080655,circle,#cc78bc,Y,N,N,Y,,Liu,5141.66579,37.34184086,1,1.18E-15,0,0
Behrens et al. (2004) Am Min,10.2138/am-2004-2-307,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,Coulometric CO2 titration,IHPV,sdt1,1100,10,A,2000,50,A,4.45,0.23,A,870,101,A,76.78,0.32,A,12.77,0.13,A,4.08,0.07,A,0.07,0.01,A,0.56,0.02,A,0.1,0.02,A,0.52,0.03,A,0.09,0.01,A,4.55,0.07,A,,,ND,,,,,,,,,,NR,,,NR,T,,,,,99.52,77.15032154,8.671623794,circle,#cc78bc,N,N,N,N,,Liu,2939.060187,190.1620932,0.587320415,0.032893997,0.412679585,0.032893997
Behrens et al. (2004) Am Min,10.2138/am-2004-2-307,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,Coulometric CO2 titration,IHPV,sdt3,1100,11,A,5000,50,A,6.87,0.57,A,1602,99,A,76.78,0.32,A,12.77,0.13,A,4.08,0.07,A,0.07,0.01,A,0.56,0.02,A,0.1,0.02,A,0.52,0.03,A,0.09,0.01,A,4.55,0.07,A,,,ND,,,,,,,,,,NR,,,NR,F,,,,,99.52,77.15032154,8.671623794,circle,#cc78bc,N,N,N,N,,Liu,4859.813048,225.8572666,0.682306069,0.039992564,0.317693931,0.039992564
Behrens et al. (2004) Am Min,10.2138/am-2004-2-307,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,Coulometric CO2 titration,IHPV,std5,1100,12,A,5000,50,A,0.51,0.05,A,2267,98,A,76.78,0.32,A,12.77,0.13,A,4.08,0.07,A,0.07,0.01,A,0.56,0.02,A,0.1,0.02,A,0.52,0.03,A,0.09,0.01,A,4.55,0.07,A,,,ND,,,,,,,,,,NR,,,NR,T,,,,,99.52,77.15032154,8.671623794,circle,#cc78bc,N,N,N,N,,Liu,4671.372586,194.9287955,0.012747213,0.002399335,0.987252787,0.002399335
Behrens et al. (2004) Am Min,10.2138/am-2004-2-307,Rhyolite,"Erevan Dry Fountain, Armenia",Natural,FTIR,Coulometric CO2 titration,IHPV,std7,1100,13,A,5000,50,A,4.79,0.2,A,2232,132,A,76.78,0.32,A,12.77,0.13,A,4.08,0.07,A,0.07,0.01,A,0.56,0.02,A,0.1,0.02,A,0.52,0.03,A,0.09,0.01,A,4.55,0.07,A,,,ND,,,,,,,,,,NR,,,NR,F,,,,,99.52,77.15032154,8.671623794,circle,#cc78bc,N,N,N,N,,Liu,5058.703502,180.602365,0.464801028,0.020186914,0.535198972,0.020186914
Blank et al. (1993),10.1016/0012-821X(93)90004-S,Rhyolite,"Glass buttes, Oregan USA",Natural,FTIR,FTIR,CSPV,2,850,10,A,750,,A,1.88,0.06,A,389,17,A,77.7,0.01,R,13,0.01,R,4.08,0.01,R,0.05,0.01,R,0.52,0.01,R,0.07,0.01,R,0.38,0.01,R,0.04,0.01,R,4.19,0.01,R,,,ND,,,ND,,,,ND,,,ND,0.68,0.01,A,F,,,,,100.03,77.67669699,8.267519744,square,#cc78bc,Y,N,N,Y,,Liu,926.8438116,32.2506706,0.316137737,0.016082167,0.683862263,0.016082167
Blank et al. (1993),10.1016/0012-821X(93)90004-S,Rhyolite,"Glass buttes, Oregan USA",Natural,FTIR,FTIR,CSPV,3,850,10,A,750,,A,2.24,0.08,A,260,10,A,77.7,0.01,R,13,0.01,R,4.08,0.01,R,0.05,0.01,R,0.52,0.01,R,0.07,0.01,R,0.38,0.01,R,0.04,0.01,R,4.19,0.01,R,,,ND,,,ND,,,,ND,,,ND,0.52,0.02,A,T,,,,,100.03,77.67669699,8.267519744,square,#cc78bc,Y,N,N,Y,,Liu,813.0215703,30.63572735,0.482256802,0.018140136,0.517743198,0.018140136
Blank et al. (1993),10.1016/0012-821X(93)90004-S,Rhyolite,"Glass buttes, Oregan USA",Natural,FTIR,FTIR,CSPV,4,850,10,A,750,,A,3.34,0.08,A,23,6,A,77.7,0.01,R,13,0.01,R,4.08,0.01,R,0.05,0.01,R,0.52,0.01,R,0.07,0.01,R,0.38,0.01,R,0.04,0.01,R,4.19,0.01,R,,,ND,,,ND,,,,ND,,,ND,0.06,0.01,A,F,,,,,100.03,77.67669699,8.267519744,square,#cc78bc,Y,N,N,Y,,Liu,803.1140088,34.76474087,0.953826509,0.011589699,0.046173491,0.011589699
Blank et al. (1993),10.1016/0012-821X(93)90004-S,Rhyolite,"Glass buttes, Oregan USA",Natural,FTIR,FTIR,CSPV,5,850,10,A,750,,A,3.23,0.1,A,80,6,A,77.7,0.01,R,13,0.01,R,4.08,0.01,R,0.05,0.01,R,0.52,0.01,R,0.07,0.01,R,0.38,0.01,R,0.04,0.01,R,4.19,0.01,R,,,ND,,,ND,,,,ND,,,ND,0.16,0.01,A,T,,,,,100.03,77.67669699,8.267519744,square,#cc78bc,Y,N,N,Y,,Liu,858.6588482,39.83113715,0.849539407,0.011487119,0.150460593,0.011487119
Blank et al. (1993),10.1016/0012-821X(93)90004-S,Rhyolite,"Glass buttes, Oregan USA",Natural,FTIR,FTIR,CSPV,7,850,10,A,750,,A,2.28,0.08,A,196,10,A,77.7,0.01,R,13,0.01,R,4.08,0.01,R,0.05,0.01,R,0.52,0.01,R,0.07,0.01,R,0.38,0.01,R,0.04,0.01,R,4.19,0.01,R,,,ND,,,ND,,,,ND,,,ND,0.38,0.02,A,F,,,,,100.03,77.67669699,8.267519744,square,#cc78bc,Y,N,N,Y,,Liu,717.7377964,30.25710069,0.558974674,0.019731464,0.441025326,0.019731464
Blank et al. (1993),10.1016/0012-821X(93)90004-S,Rhyolite,"Glass buttes, Oregan USA",Natural,FTIR,FTIR,CSPV,9,850,10,A,750,,A,0.51,0.06,A,515,16,A,77.7,0.01,R,13,0.01,R,4.08,0.01,R,0.05,0.01,R,0.52,0.01,R,0.07,0.01,R,0.38,0.01,R,0.04,0.01,R,4.19,0.01,R,,,ND,,,ND,,,,ND,,,ND,0.9,0.01,A,F,,,,,100.03,77.67669699,8.267519744,square,#cc78bc,Y,N,N,Y,,Liu,948.8514577,27.66111419,0.027589084,0.006175209,0.972410916,0.006175209
Blank et al. (1993),10.1016/0012-821X(93)90004-S,Rhyolite,"Glass buttes, Oregan USA",Natural,FTIR,FTIR,CSPV,10,850,10,A,750,,A,1.35,0.1,A,406,10,A,77.7,0.01,R,13,0.01,R,4.08,0.01,R,0.05,0.01,R,0.52,0.01,R,0.07,0.01,R,0.38,0.01,R,0.04,0.01,R,4.19,0.01,R,,,ND,,,ND,,,,ND,,,ND,0.71,0.02,A,F,,,,,100.03,77.67669699,8.267519744,square,#cc78bc,Y,N,N,Y,,Liu,833.534953,25.62859976,0.191782955,0.022814828,0.808217045,0.022814828
Mangan & Sisson (2000),10.1016/S0012-821X(00)00299-5,Rhyolite,Panum Crater Dome,Natural,FTIR,FTIR,CSPV,#31,900,7,A,2000,15,A,5.13,0.09,A,49,4,A,75.64,0.01,R,12.38,0.01,R,4.17,0.01,R,0.03,0.01,R,0.54,0.01,R,0.08,0.01,R,0.94,0.01,R,0.07,0.01,R,4.72,0.01,R,0.01,0.01,R,,,,,,,,,,,,,,F,,,,,98.58,76.72955975,9.018056401,triangle-up,#cc78bc,N,N,N,N,,Liu,1738.319907,47.91318096,0.957285993,0.003513959,0.042714007,0.003513959
Mangan & Sisson (2000),10.1016/S0012-821X(00)00299-5,Rhyolite,Panum Crater Dome,Natural,FTIR,FTIR,CSPV,#32,900,7,A,2000,15,A,4.83,0.12,A,18,1,A,75.64,0.01,R,12.38,0.01,R,4.17,0.01,R,0.03,0.01,R,0.54,0.01,R,0.08,0.01,R,0.94,0.01,R,0.07,0.01,R,4.72,0.01,R,0.01,0.01,R,,,,,,,,,,,,,,F,,,,,98.58,76.72955975,9.018056401,triangle-up,#cc78bc,N,N,N,N,,Liu,1532.949202,62.58211164,0.981911058,0.001322883,0.018088942,0.001322883
