Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Dixon,model option,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G2b,1200,5,A,2070,20,A,5.24,0.52,A,0,0,A,48.16,0.18,A,17.61,0.23,A,5.31,0.09,A,4.05,0.06,A,8.62,0.08,A,3.11,0.16,A,9.41,0.2,A,0.2,0.07,A,2.15,0.1,A,1.38,0.13,A,,,,1.38,NNO,,NR,1,,NR,0,,NR,T,100,48.16,7.46,cross,#fbafe4,N,N,N,N,N,Dixon,2476.079297,412.2967317,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G4a,1200,5,A,4110,20,A,7.38,0.25,A,0,0,A,48.6,0.26,A,18.09,0.23,A,5.18,0.18,A,3.99,0.07,A,8.66,0.16,A,2.98,0.22,A,8.86,0.34,A,0.25,0.09,A,2.24,0.13,A,1.16,0.17,A,,,,3.22,NNO,,NR,1,,NR,0,,NR,F,100.01,48.59514049,7.419258074,cross,#fbafe4,N,N,N,N,N,Dixon,4107.767203,211.8519243,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G4b,1200,5,A,4130,20,A,7.56,0.4,A,0,0,A,48.58,0.26,A,17.76,0.18,A,5.19,0.08,A,4.02,0.07,A,8.4,0.12,A,3.02,0.16,A,9.54,0.31,A,0.24,0.07,A,2.22,0.17,A,1.02,0.14,A,,,,1.2,NNO,,NR,1,,NR,0,,NR,F,99.99,48.58485849,7.410741074,cross,#fbafe4,N,N,N,N,N,Dixon,4253.395691,337.5950256,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,GC1a,1200,5,A,1020,20,A,0.3,0.03,A,620,49,A,48.36,0.25,A,17.81,0.28,A,5.17,0.14,A,4.02,0.06,A,8.51,0.06,A,2.99,0.16,A,9.53,0.17,A,0.25,0.1,A,2.21,0.08,A,1.15,0.17,A,,,,-0.52,NNO,,NR,0.011,,NR,0.989,,NR,F,100,48.36,7.38,cross,#fbafe4,N,N,N,N,N,Dixon,1030.710285,112.9872799,0.008591415,0.001971246,0.991408585,0.001971246
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,GC2a,1200,5,A,1940,20,A,0.19,0.02,A,1291,146,A,48.89,0.26,A,17.76,0.13,A,5.37,0.09,A,3.89,0.06,A,8.43,0.1,A,2.87,0.18,A,9.17,0.2,A,0.28,0.07,A,2.26,0.09,A,1.09,0.15,A,,,,-1.89,NNO,,NR,0.002,,NR,0.998,,NR,F,100.01,48.88511149,7.629237076,cross,#fbafe4,N,N,N,N,N,Dixon,2412.772838,292.0397302,0.001511286,0.000362785,0.998488714,0.000362785
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,GC2b,1200,5,A,2070,20,A,1.27,0.11,A,1419,93,A,48.9,0.25,A,17.85,0.18,A,5.52,0.09,A,4.07,0.05,A,8.62,0.11,A,3.14,0.12,A,8.16,0.12,A,0.19,0.1,A,2.25,0.09,A,1.29,0.14,A,,,,-0.89,NNO,,NR,0.074,,NR,0.926,,NR,F,99.99,48.90489049,7.770777078,cross,#fbafe4,N,N,N,N,N,Dixon,2809.109139,239.9570685,0.070914075,0.013456876,0.929085925,0.013456876
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,FTIR,FTIR,IPHV,A2549 B-13,1250,10,A,500,50,A,0.87,0.12,A,614,71,A,46.05,0.23,A,12.89,0.11,A,4.01,0.11,A,11.96,0.17,A,12.32,0.34,A,2.73,0.09,A,10.09,0.57,A,0.32,0.06,A,0.98,0.05,A,,,ND,0.24,,NR,1.35,DNNO,,NR,,,ND,,,,F,101.35,45.43660582,4.923532314,square,#ece133,N,Y,N,N,N,Dixon,662.4228343,72.71152887,0.13060151,0.034922703,0.86939849,0.034922703
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,KFT,FTIR,IPHV,A2549 12,1250,10,A,1000,50,A,3.17,0.12,A,127,15,A,43.13,0.4,A,12.14,0.14,A,3.38,0.21,A,11.52,0.22,A,11.38,0.35,A,2.55,0.07,A,11.29,0.25,A,0.23,0.09,A,0.93,0.07,A,,,ND,0.44,,NR,2.77,DNNO,,NR,0.91,,NR,0.09,,CALC,F,96.55,44.67115484,4.464008286,square,#ece133,Y,Y,N,N,N,Dixon,1357.458618,93.40880981,0.945235658,0.00780958,0.054764342,0.00780958
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,KFT,ND,IPHV,A2549 B11,1250,10,A,1000,50,A,3.13,0.14,A,0,0,A,42.94,0.3,A,12.01,0.35,A,3.34,0.26,A,11.14,0.14,A,11.39,0.19,A,2.5,0.08,A,11.32,0.5,A,0.26,0.1,A,3.34,0.26,A,,,ND,0.46,,NR,2.76,DNNO,,NR,1,,NR,0,,CALC,T,98.24,43.70928339,6.799674267,square,#ece133,Y,Y,N,N,N,Dixon,1267.128758,107.5978895,1,0,0,0
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,FTIR,FTIR,IPHV,A2549 14,1250,10,A,1000,50,A,0.97,0.1,A,1771,209,A,44,0.55,A,12.35,0.21,A,3.77,0.11,A,12.12,0.15,A,12.2,0.17,A,2.57,0.07,A,10.77,0.47,A,0.26,0.1,A,0.93,0.05,A,,,ND,0.26,,NR,1.18,DNNO,,NR,0.07,,NR,0.93,,CALC,F,98.97,44.45791654,4.748913812,square,#ece133,Y,Y,N,N,N,Dixon,1288.411495,155.0351272,0.099730407,0.022927648,0.900269593,0.022927648
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,FTIR,FTIR,IPHV,A2549 13,1250,10,A,1000,50,A,0.5,0.06,A,1411,168,A,47.35,0.79,A,12.81,0.34,A,3.88,0.19,A,11.45,0.51,A,12.08,0.75,A,2.68,0.12,A,7.12,0.37,A,0.17,0.07,A,1.04,0.12,A,,,ND,0.2,,NR,0.08,DNNO,,NR,,,ND,,,,F,98.58,48.03205518,4.990870359,square,#ece133,N,Y,N,N,N,Dixon,1767.458882,385.979455,0.016685431,0.005640925,0.983314569,0.005640925
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,KFT,FTIR,IPHV,A2549 51,1250,10,A,1000,50,A,0.86,0.12,A,1500,178,A,44.75,0.25,A,12.54,0.25,A,3.6,0.24,A,11.71,0.32,A,11.88,0.13,A,2.67,0.05,A,10.68,0.45,A,0.16,0.06,A,0.95,0.05,A,,,ND,0.25,,NR,0.96,DNNO,,NR,0.03,,NR,0.97,,CALC,F,98.94,45.22943198,4.598746715,square,#ece133,Y,Y,N,N,N,Dixon,1187.993189,128.8062071,0.08056292,0.02296968,0.91943708,0.02296968
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,FTIR,FTIR,IPHV,A2549 B-4,1250,10,A,2000,50,A,0.88,0.12,A,3130,366,A,45.2,0.27,A,12.65,0.42,A,3.92,0.18,A,11.52,0.05,A,11.83,0.26,A,2.7,0.09,A,9.81,0.32,A,0.1,0.13,A,1.01,0.04,A,,,ND,0.21,,NR,0.67,DNNO,,NR,,,ND,,,,T,98.74,45.77678752,4.992910674,square,#ece133,N,Y,N,N,N,Dixon,2449.102671,271.2008336,0.043525219,0.012678174,0.956474781,0.012678174
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,FTIR,FTIR,IPHV,A2549 B-12,1250,10,A,3000,50,A,1.06,0.15,A,5509,642,A,45.31,0.42,A,12.62,0.39,A,3.92,0.17,A,11.89,0.2,A,12.06,0.2,A,2.65,0.03,A,9.89,0.32,A,0.29,0.1,A,0.96,0.04,A,,,ND,0.21,,NR,0.8,DNNO,,NR,,,ND,,,,F,99.59,45.4965358,4.900090371,square,#ece133,N,Y,N,N,N,Dixon,4108.077367,461.5956313,0.040199442,0.012424949,0.959800558,0.012424949
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,KFT,FTIR,IPHV,A2549 18,1250,10,A,5000,50,A,5.82,0.12,A,6716,795,A,41.84,0.42,A,11.61,0.16,A,3.18,0.29,A,10.64,0.34,A,11.42,0.54,A,2.49,0.07,A,10.93,0.46,A,0.15,0.12,A,0.96,0.08,A,,,ND,0.45,,NR,2.74,DNNO,,NR,0.64,,NR,0.36,,CALC,F,93.22,44.8830723,4.441107059,square,#ece133,Y,Y,N,N,N,Dixon,6859.313769,324.1320577,0.611405681,0.030989034,0.388594319,0.030989034
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,KFT,FTIR,IPHV,A2549 48,1250,10,A,5000,50,A,3.48,0.13,A,7368,885,A,42.56,0.24,A,11.85,0.21,A,3.59,0.1,A,11.16,0.16,A,11.42,0.49,A,2.52,0.05,A,10.99,0.32,A,0.22,0.18,A,0.87,0.04,A,,,ND,0.95,,NR,2.21,DNNO,,NR,0.27,,NR,0.73,,CALC,F,95.18,44.71527632,4.685858374,square,#ece133,Y,Y,N,N,N,Dixon,5212.474142,369.5502862,0.34710006,0.02818866,0.65289994,0.02818866
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,KFT,FTIR,IPHV,A2549 19,1250,10,A,5000,50,A,0.5,0.12,A,7654,895,A,44.23,0.41,A,12.53,0.14,A,3.64,0.15,A,11.73,0.22,A,12.23,0.41,A,2.73,0.05,A,9.87,0.33,A,0.24,0.13,A,1.03,0.08,A,,,ND,0.14,,NR,-0.54,DNNO,,NR,,,ND,,,,T,98.23,45.0269775,4.754148427,square,#ece133,N,Y,N,N,N,Dixon,4571.161494,486.0537469,0.008316348,0.004042614,0.991683652,0.004042614
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,KFT,FTIR,IPHV,A2549 47,1250,10,A,5000,50,A,0.27,0.12,A,7159,844,A,48.33,0.46,A,13.81,0.23,A,3.9,0.19,A,10.37,0.28,A,12.31,0.37,A,2.89,0.04,A,6.45,0.47,A,0.22,0.06,A,1.02,0.06,A,,,ND,0.13,,NR,-1.62,DNNO,,NR,,,ND,,,,F,99.3,48.67069486,4.954682779,square,#ece133,N,Y,N,N,N,Dixon,8551.587453,1133.204894,0.001198303,0.001026572,0.998801697,0.001026572
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2507 21,1250,10,A,1000,50,A,3.31,0.13,A,0,0,A,46.91,0.27,A,13.47,0.04,A,3.2,0.24,A,9.53,0.16,A,9.7,0.25,A,2.3,0.05,A,10.34,0.54,A,0.19,0.12,A,0.78,0.03,A,,,ND,0.436681223,,NR,2.786825114,DNNO,,ND,0.920343435,,NR,0.079656565,,CALC,F,96.42,48.65173201,4.127774321,triangle-up,#0173b2,Y,Y,N,N,N,Dixon,1138.83748,85.48973041,1,0,0,0
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2507 22,1250,10,A,1000,50,A,3.15,0.12,A,0,0,A,46.66,0.22,A,13.47,0.46,A,3.08,0.15,A,9.63,0.21,A,9.58,0.26,A,2.36,0.07,A,10.39,0.26,A,0.19,0.12,A,0.74,0.08,A,,,ND,0.407572816,,NR,2.736825114,DNNO,,ND,0.837457062,,NR,0.162542938,,CALC,F,96.1,48.55359001,3.975026015,triangle-up,#0173b2,Y,Y,N,N,N,Dixon,1054.78889,73.62976355,1,0,0,0
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2507 23,1250,10,A,1000,50,A,2.45,0.13,A,219,26,A,47.17,0.45,A,13.58,0.31,A,3.21,0.15,A,9.87,0.28,A,9.83,0.35,A,2.43,0.04,A,10.37,0.36,A,0.17,0.08,A,0.74,0.05,A,,,ND,0.369113573,,NR,2.416825114,DNNO,,ND,0.652798613,,NR,0.347201387,,CALC,F,97.37,48.44407929,4.056690973,triangle-up,#0173b2,Y,Y,N,N,N,Dixon,921.3119718,78.14802952,0.715313554,0.042128086,0.284686446,0.042128086
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2507 24,1250,10,A,1000,50,A,1.24,0.11,A,638,77,A,47.92,0.64,A,13.85,0.32,A,3.38,0.22,A,9.86,0.47,A,9.82,0.18,A,2.47,0.07,A,10.29,0.55,A,0.07,0.11,A,0.79,0.07,A,,,ND,0.256725459,,NR,1.476825114,DNNO,,ND,0.204915979,,NR,0.795084021,,CALC,F,98.45,48.67445404,4.235652616,triangle-up,#0173b2,Y,Y,N,N,N,Dixon,1113.339119,208.8509712,0.159954286,0.037870624,0.840045714,0.037870624
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2507 25,1250,10,A,1000,50,A,0.85,0.12,A,750,88,A,48.49,0.39,A,14.14,0.19,A,3.47,0.31,A,10.09,0.28,A,10.09,0.37,A,2.45,0.06,A,9.58,0.42,A,0.2,0.1,A,0.79,0.07,A,,,ND,0.199116821,,NR,0.916825114,DNNO,,ND,0.192078941,,NR,0.807921059,,CALC,T,99.3,48.83182276,4.290030211,triangle-up,#0173b2,Y,Y,N,N,N,Dixon,1371.530008,216.0653914,0.058434849,0.018425731,0.941565151,0.018425731
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2507 29,1250,10,A,5000,50,A,3.44,0.12,A,5440,748,A,46.42,0.3,A,13.4,0.1,A,3.06,0.13,A,9.52,0.11,A,9.42,0.18,A,2.29,0.05,A,10.18,0.39,A,0.17,0.07,A,0.76,0.05,A,,,ND,0.330850131,,NR,2.168637326,DNNO,,ND,0.308744837,,NR,0.691255163,,CALC,F,95.22,48.75026255,4.011762235,triangle-up,#0173b2,Y,Y,N,N,N,Dixon,5858.359854,561.8989095,0.254907541,0.027523379,0.745092459,0.027523379
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2507 30,1250,10,A,5000,50,A,0.65,0.12,A,5413,809,A,47.71,0.49,A,13.77,0.28,A,3.34,0.19,A,9.9,0.31,A,9.85,0.23,A,2.42,0.06,A,10.26,0.14,A,0.14,0.04,A,0.84,0.06,A,,,ND,0.211143166,,NR,-0.171362674,DNNO,,ND,0,,NR,1,,CALC,F,98.23,48.5696834,4.255319149,triangle-up,#0173b2,Y,Y,N,N,N,Dixon,6074.851234,996.084415,0.009617257,0.003951379,0.990382743,0.003951379
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,MORB: Mid-Atlantic Ridge,Natural,KFT,FTIR,IHPV,169oxi-20,1200,10,A,5000,50,A,8.85,0.1,A,0,0,A,45.59,0.22,A,16.25,0.21,A,2.45,0.21,A,6.17,0.11,A,11.53,0.21,A,1.2,0.04,A,8.3,0.13,A,0.21,0.05,A,0.26,0.03,A,,,ND,,,ND,3.086497903,DNNO,,ND,1,,NR,0,,CALC,F,91.96,49.57590257,2.946933449,triangle-down,#0173b2,Y,Y,N,N,N,Dixon,6122.951839,116.174262,1,0,0,0
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,MORB: Mid-Atlantic Ridge,Natural,KFT,FTIR,IHPV,169oxi-19,1200,10,A,5000,50,A,7.36,0.07,A,1190,75,A,46.76,0.28,A,16.51,0.19,A,2.42,0.13,A,6.61,0.57,A,11.47,0.45,A,1.21,0.05,A,8.32,0.47,A,0.21,0.07,A,0.23,0.03,A,,,ND,,,ND,2.896497903,DNNO,,ND,0.553111251,,NR,0.446888749,,CALC,T,93.74,49.88265415,2.82696821,triangle-down,#0173b2,Y,Y,N,N,N,Dixon,5585.878381,88.42444505,0.818274787,0.014659306,0.181725213,0.014659306
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,MORB: Mid-Atlantic Ridge,Natural,KFT,FTIR,IHPV,169oxi-18,1200,10,A,5000,50,A,5.99,0.09,A,2895,183,A,47.83,0.24,A,16.72,0.17,A,2.56,0.05,A,6.42,0.13,A,11.69,0.08,A,1.31,0.06,A,8.43,0.23,A,0.21,0.06,A,0.25,0.04,A,,,ND,,,ND,2.696497903,DNNO,,ND,0.45915797,,NR,0.54084203,,CALC,F,95.42,50.1257598,2.944875288,triangle-down,#0173b2,Y,Y,N,N,N,Dixon,6452.867108,250.3181193,0.517511242,0.023194225,0.482488758,0.023194225
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2518 2,1250,10,A,1000,50,A,3.38,0.13,A,0,0,A,45.5,0.46,A,13.86,0.23,A,3.46,0.33,A,8.09,0.21,A,10.23,0.36,A,2.62,0.08,A,11.81,0.3,A,0.07,0.09,A,0.97,0.06,A,,,ND,0.4441331,,NR,2.816825114,DNNO,,ND,0.985416346,,NR,0.014583654,,CALC,T,96.61,47.09657385,4.585446641,pentagon,#0173b2,Y,Y,N,N,N,Dixon,1273.241725,95.5371929,1,0,0,0
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2518 1,1250,10,A,1000,50,A,3.1,0.12,A,0,0,A,45.64,0.37,A,13.81,0.27,A,3.28,0.22,A,8.09,0.19,A,10.27,0.07,A,2.57,0.06,A,11.22,0.5,A,0.15,0.04,A,1,0.08,A,,,ND,0.4589169,,NR,2.706825114,DNNO,,ND,0.850716593,,NR,0.149283407,,CALC,F,96.03,47.52681454,4.456940539,pentagon,#0173b2,Y,Y,N,N,N,Dixon,1076.194978,78.17976708,1,0,0,0
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2518 3,1250,10,A,1000,50,A,2.29,0.12,A,284,33,A,46.45,0.56,A,14.05,0.23,A,3.38,0.21,A,8.19,0.25,A,10.47,0.33,A,2.6,0.05,A,11.27,0.51,A,0.16,0.05,A,1.03,0.04,A,,,ND,0.383404619,,NR,2.336825114,DNNO,,ND,0.558451219,,NR,0.441548781,,CALC,T,97.6,47.59221311,4.518442623,pentagon,#0173b2,Y,Y,N,N,N,Dixon,886.0052301,73.26288487,0.674866952,0.045931463,0.325133048,0.045931463
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,FTIR,FTIR,IHPV,B2518 4,1250,10,A,1000,50,A,1.31,0.13,A,648,76,A,47.24,0.42,A,14.29,0.2,A,3.25,0.18,A,8.3,0.23,A,10.77,0.29,A,2.66,0.05,A,10.98,0.5,A,0.12,0.09,A,1.03,0.06,A,,,ND,0.30449827,,NR,1.566825114,DNNO,,ND,0.2,,NR,0.8,,CALC,F,98.64,47.89132198,4.339010543,pentagon,#0173b2,Y,Y,N,N,N,Dixon,978.7766836,129.1892325,0.205096512,0.043446822,0.794903488,0.043446822
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2518 54,1250,10,A,1000,50,A,0.88,0.11,A,706,82,A,47.29,0.42,A,14.45,0.19,A,3.46,0.1,A,8.22,0.26,A,10.72,0.31,A,2.67,0.05,A,10.85,0.3,A,0.21,0.08,A,1,0.04,A,,,ND,0.270575382,,NR,0.976825114,DNNO,,ND,0.113240317,,NR,0.886759683,,CALC,F,98.87,47.83048447,4.510974006,pentagon,#0173b2,Y,Y,N,N,N,Dixon,950.6286597,132.3406087,0.091896393,0.024147563,0.908103607,0.024147563
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2518 50,1250,10,A,1000,50,A,0.85,0.11,A,518,69,A,47.44,0.4,A,14.22,0.14,A,3.34,0.2,A,8.22,0.12,A,10.74,0.32,A,2.73,0.09,A,10.37,0.46,A,0.14,0.11,A,1.01,0.08,A,,,ND,0.241725549,,NR,0.916825114,DNNO,,ND,0.111668521,,NR,0.888331479,,CALC,F,98.21,48.30465329,4.429284187,pentagon,#0173b2,Y,Y,N,N,N,Dixon,739.7661316,121.1389258,0.108385193,0.032382714,0.891614807,0.032382714
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2518 9,1250,10,A,5000,50,A,3.34,0.12,A,4517,526,A,45.54,0.11,A,13.69,0.27,A,3.11,0.2,A,7.99,0.17,A,10.04,0.12,A,2.54,0.1,A,11.21,0.42,A,0.17,0.16,A,1,0.03,A,,,ND,0.359770115,,NR,2.128637326,DNNO,,ND,0.240662766,,NR,0.759337234,,CALC,F,95.29,47.79095393,4.313149334,pentagon,#0173b2,Y,Y,N,N,N,Dixon,4686.240198,353.7715746,0.308937258,0.026322889,0.691062742,0.026322889
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,"Mont Crozier, Kerguelen Island",Natural,KFT,FTIR,IHPV,OB93-5,1200,10,A,5000,50,A,7.96,0.1,A,729,36,A,45.02,0.32,A,14.92,0.23,A,2.5,0.12,A,5.25,0.14,A,9.06,0.22,A,2.5,0.09,A,10.6,0.4,A,0.16,0.12,A,0.97,0.05,A,,,ND,,,ND,2.986497903,DNNO,,ND,0.861041293,,NR,0.138958707,,CALC,T,90.98,49.48340295,3.81402506,cross,#0173b2,Y,Y,N,N,N,Dixon,5937.131845,118.9148684,0.925692466,0.006029549,0.074307534,0.006029549
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,"Mont Crozier, Kerguelen Island",Natural,KFT,FTIR,IHPV,OB93-4,1200,10,A,5000,50,A,7.45,0.1,A,1336,124,A,45.5,0.34,A,15.19,0.24,A,2.46,0.21,A,5.24,0.18,A,8.97,0.31,A,2.56,0.08,A,10.47,0.5,A,0.17,0.07,A,0.98,0.04,A,,,ND,,,ND,2.916497903,DNNO,,ND,0.511627907,,NR,0.488372093,,CALC,F,91.54,49.70504697,3.757920035,cross,#0173b2,Y,Y,N,N,N,Dixon,5805.766892,133.125214,0.846599288,0.015156157,0.153400712,0.015156157
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,"Mont Crozier, Kerguelen Island",Natural,KFT,FTIR,IHPV,OB93-3,1200,10,A,5000,50,A,5.44,0.1,A,2491,101,A,46.21,0.44,A,15.3,0.27,A,2.6,0.18,A,5.42,0.26,A,9.17,0.23,A,2.62,0.09,A,10.59,0.43,A,0.13,0.1,A,0.97,0.04,A,,,ND,,,ND,2.616497903,DNNO,,ND,0.566495002,,NR,0.433504998,,CALC,F,93.01,49.6828298,3.838296957,cross,#0173b2,Y,Y,N,N,N,Dixon,5024.429062,153.7503698,0.609014247,0.025813283,0.390985753,0.025813283
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,"Mont Crozier, Kerguelen Island",Natural,KFT,FTIR,IHPV,OB93-2,1200,10,A,5000,50,A,3.15,0.1,A,3239,205,A,46.91,0.58,A,15.42,0.37,A,2.66,0.14,A,5.65,0.19,A,9.16,0.21,A,2.63,0.1,A,10.75,0.38,A,0.16,0.12,A,1.01,0.05,A,,,ND,,,ND,2.036497903,DNNO,,ND,0.208136235,,NR,0.791863765,,CALC,T,94.35,49.7191309,3.889772125,cross,#0173b2,Y,Y,N,N,N,Dixon,4312.888673,385.352869,0.290939267,0.031506455,0.709060733,0.031506455
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Trachybasalt,Etna,Natural,KFT,FTIR,IHPV,Etna-11,1200,10,A,5000,50,A,8.78,0.12,A,0,0,A,44.3,0.26,A,15.14,0.26,A,3.22,0.1,A,5.06,0.08,A,10.07,0.24,A,1.65,0.02,A,9.76,0.41,A,0.18,0.12,A,1.79,0.08,A,,,ND,,,ND,3.066497903,DNNO,,ND,1,,NR,0,,CALC,F,91.17,48.59054514,5.495228694,square,#56b4e9,Y,Y,N,N,N,Dixon,6478.126662,152.1238098,1,0,0,0
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Trachybasalt,Etna,Natural,KFT,FTIR,IHPV,Etna-15,1200,10,A,5000,50,A,7.19,0.08,A,2156,90,A,44.81,0.65,A,15.38,0.21,A,2.7,0.18,A,5.34,0.16,A,9.89,0.25,A,1.57,0.08,A,9.14,0.46,A,0.17,0.05,A,1.72,0.19,A,,,ND,,,ND,2.876497903,DNNO,,ND,0.818278427,,NR,0.181721573,,CALC,T,90.72,49.39373898,4.872134039,square,#56b4e9,Y,Y,N,N,N,Dixon,6134.330002,95.73282403,0.795221943,0.022290359,0.204778057,0.022290359
