Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Dixon,model option,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M30,1250,3,A,4000,50,A,5.65,0.12,A,1271,101,A,45.86,0.41,A,16.6,0.15,A,2.17,0.15,A,6.36,0.2,A,10.37,0.24,A,0.86,0.04,A,8.59,0.43,A,0.14,0.09,A,0.22,0.04,A,,,ND,0.41,0.02,A,2.3,NNO,,,0.67,0.04,A,0.33,0.04,CALC,F,91.17,50.30163431,2.621476363,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,4145.557091,132.6597759,0.757665469,0.023550489,0.242334531,0.023550489
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M40,1250,3,A,4000,50,A,3.07,0.12,A,2183,178,A,47.51,0.4,A,17.27,0.22,A,2.24,0.15,A,6.66,0.21,A,10.59,0.26,A,0.92,0.04,A,8.93,0.3,A,0.17,0.09,A,0.22,0.04,A,,,ND,0.36,0.02,A,1.73,NNO,,,0.31,0.04,A,0.69,0.04,CALC,T,94.51,50.26981272,2.602899164,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,3661.31699,311.5610565,0.307534056,0.030383381,0.692465944,0.030383381
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M19,1250,3,A,5000,50,A,3.29,0.13,A,3277,266,A,47.31,0.31,A,17.08,0.21,A,2.26,0.19,A,6.63,0.19,A,10.5,0.38,A,0.87,0.04,A,8.8,0.37,A,0.13,0.09,A,0.23,0.03,A,,,ND,0.3,0.02,A,1.45,NNO,,,0.18,0.04,A,0.82,0.04,CALC,T,93.81,50.4317237,2.654301247,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,4740.699036,352.9247843,0.274967878,0.023932958,0.725032122,0.023932958
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M20,1250,3,A,5000,50,A,5.72,0.12,A,2421,268,A,46,0.4,A,16.65,0.25,A,2.14,0.18,A,6.38,0.17,A,10.31,0.25,A,0.83,0.04,A,8.48,0.35,A,0.19,0.07,A,0.25,0.05,A,,,ND,0.39,0.02,A,2.28,NNO,,,0.64,0.05,A,0.36,0.05,CALC,F,91.23,50.4220103,2.619752274,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,5118.454351,243.0077372,0.635987056,0.033493375,0.364012944,0.033493375
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M21,1250,3,A,5000,50,A,7.56,0.14,A,1051,98,A,45.12,0.35,A,16.32,0.19,A,2.17,0.2,A,6.26,0.15,A,9.98,0.21,A,0.84,0.05,A,8.4,0.28,A,0.15,0.09,A,0.21,0.03,A,,,ND,0.44,0.02,A,2.52,NNO,,,0.91,0.05,A,0.09,0.05,CALC,F,89.45,50.44158748,2.660704304,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,5678.645093,149.0169079,0.88092005,0.012963527,0.11907995,0.012963527
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,ND,IHPV,M22,1250,3,A,5000,50,A,8.81,0.16,A,0,0,A,44.85,0.18,A,16.13,0.23,A,2.14,0.24,A,6.07,0.24,A,10.13,0.22,A,0.87,0.03,A,8.35,0.27,A,0.17,0.12,A,0.24,0.05,A,,,ND,,,,2.6,NNO,,,1,0.06,A,0,0.06,CALC,F,88.95,50.42158516,2.675660483,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,6190.154544,161.7695778,1,0,0,0
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M42,1250,3,A,5000,50,A,1.33,0.11,A,3318,276,A,48.64,0.39,A,17.53,0.24,A,2.36,0.14,A,6.75,0.21,A,10.89,0.36,A,0.9,0.06,A,8.5,0.49,A,0.15,0.08,A,0.22,0.02,A,,,ND,0.25,0.02,A,0.55,NNO,,,0.07,0.03,A,0.93,0.03,CALC,F,95.94,50.69835314,2.689180738,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,5323.711095,632.6091712,0.043834109,0.008895455,0.956165891,0.008895455
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M43,1250,3,A,5000,50,A,2.62,0.11,A,3172,265,A,47.46,0.4,A,17.21,0.18,A,2.17,0.2,A,6.65,0.19,A,10.59,0.39,A,0.88,0.04,A,8.82,0.28,A,0.22,0.05,A,0.23,0.04,A,,,ND,0.33,0.02,A,1.24,NNO,,,0.16,0.04,A,0.84,0.04,CALC,F,94.23,50.36612544,2.546959567,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,4401.676384,428.1241984,0.198865023,0.023521246,0.801134977,0.023521246
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M44,1250,3,A,5000,50,A,4,0.12,A,3029,244,A,46.75,0.41,A,16.92,0.22,A,2.29,0.19,A,6.54,0.14,A,10.6,0.29,A,0.87,0.05,A,8.64,0.45,A,0.16,0.05,A,0.23,0.02,A,,,ND,0.37,0.02,A,1.65,NNO,,,0.27,0.05,A,0.73,0.05,CALC,F,93,50.2688172,2.709677419,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,4617.371779,302.4787281,0.396975354,0.030487157,0.603024646,0.030487157
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M46,1250,3,A,5000,50,A,6.69,0.12,A,2189,181,A,45.69,0.36,A,16.39,0.35,A,2.17,0.21,A,6.32,0.17,A,10.12,0.17,A,0.85,0.03,A,8.45,0.42,A,0.18,0.07,A,0.21,0.04,A,,,ND,0.43,0.02,A,2.39,NNO,,,0.76,0.05,A,0.24,0.05,CALC,F,90.38,50.55321974,2.633325957,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,5699.359163,166.8799624,0.726684499,0.023086569,0.273315501,0.023086569
