Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,model option,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A100,1100,5,A,5000,50,A,3.1,0.06,A,4450,460,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.22,0.2,A,0.78,0.2,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,5591.506093,308.9121187,0.316781096,0.01695529,0.683218904,0.01695529
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A160,1100,5,A,5000,50,A,9.98,0.11,A,0,0,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,1,0,A,0,0,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,,,1,0,0,0
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A1,1100,5,A,2000,50,A,5.48,0.1,A,0,0,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,1,0,A,0,0,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,3709.40253,101.5473787,1,0,0,0
Botcharnikov et al. (2007) EJM,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,ClC148,1200,5,A,2000,50,A,5.24,0.13,A,407,81,A,54.33,0.52,A,16.61,0.27,A,3.17,0.26,A,4.11,0.12,A,6.98,0.27,A,1.01,0.07,A,7.18,0.36,A,0.11,0.12,A,1.55,0.11,A,,,ND,,,,[+2 to +4],DFMQ,,,0.836,0.044,A,0.143,0.006,A,F,95.05,57.15938979,4.96580747,diamond,#029e73,N,N,N,N,IaconoMarziano,3747.305993,164.1132783,0.914095069,0.016490299,0.085904931,0.016490299
Botcharnikov et al. (2007) EJM,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,ClC149,1200,5,A,2000,50,A,4.92,0.1,A,360,91,A,54.03,0.48,A,16.62,0.27,A,3.2,0.29,A,4.1,0.12,A,7,0.18,A,1,0.07,A,6.89,0.49,A,0.1,0.11,A,1.56,0.13,A,,,ND,,,,[+2 to +4],DFMQ,,,0.843,0.032,A,0.141,0.005,A,T,94.5,57.17460317,5.037037037,diamond,#029e73,N,N,N,N,IaconoMarziano,3449.717545,147.0979201,0.91222671,0.020076101,0.08777329,0.020076101
Botcharnikov et al. (2007) EJM,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,ClC150,1200,5,A,2000,50,A,5.06,0.08,A,317,86,A,54.3,0.69,A,16.55,0.24,A,3.16,0.32,A,4.11,0.17,A,7,0.28,A,0.98,0.08,A,6.87,0.5,A,0.09,0.12,A,1.54,0.1,A,,,ND,,,,[+2 to +4],DFMQ,,,0.841,0.029,A,0.144,0.005,A,F,94.6,57.39957717,4.968287526,diamond,#029e73,N,N,N,N,IaconoMarziano,3545.531183,156.0237447,0.925262695,0.019944243,0.074737305,0.019944243
Botcharnikov et al. (2007) EJM,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,ClC151,1200,5,A,2000,50,A,5.14,0.1,A,361,92,A,54.5,0.43,A,16.75,0.3,A,3.18,0.24,A,4.16,0.18,A,6.97,0.3,A,1.04,0.06,A,7.13,0.44,A,0.12,0.06,A,1.53,0.11,A,,,ND,,,,[+2 to +4],DFMQ,,,0.845,0.029,A,0.154,0.005,A,T,95.38,57.13986161,4.938142168,diamond,#029e73,Y,N,N,N,IaconoMarziano,3645.290392,161.2502806,0.921441533,0.019668384,0.078558467,0.019668384
Botcharnikov et al. (2007) EJM,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,ClC152,1200,5,A,2000,50,A,4.92,0.11,A,380,116,A,54.78,0.49,A,16.72,0.3,A,3.16,0.23,A,4.11,0.22,A,7.08,0.3,A,1.01,0.08,A,6.86,0.49,A,0.12,0.12,A,1.53,0.1,A,,,ND,,,,[+2 to +4],DFMQ,,,0.863,0.032,A,0.134,0.004,A,F,95.37,57.43944637,4.917689001,diamond,#029e73,Y,N,N,N,IaconoMarziano,3506.736045,184.136755,0.907339371,0.026305362,0.092660629,0.026305362
Botcharnikov et al. (2007) EJM,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,ClC153,1200,5,A,2000,50,A,4.9,0.09,A,459,119,A,54.44,0.46,A,16.6,0.31,A,3.19,0.37,A,4.15,0.16,A,7.06,0.31,A,0.99,0.05,A,6.95,0.4,A,0.07,0.12,A,1.54,0.08,A,,,ND,,,,[+2 to +4],DFMQ,,,0.857,0.028,A,0.137,0.004,A,F,94.99,57.31129593,4.979471523,diamond,#029e73,Y,N,N,N,IaconoMarziano,3519.76159,165.5145087,0.889299441,0.026457864,0.110700559,0.026457864
Botcharnikov et al. (2007) EJM,10.1127/0935-1221/2007/0019-1752,Andesite,"Unzen, Japan",Synthetic,KFT,FTIR,IHPV,ClC1171,1200,5,A,2000,50,A,5.24,0.09,A,521,89,A,54.38,0.51,A,16.44,0.23,A,3.03,0.23,A,4.01,0.17,A,7.11,0.28,A,0.95,0.05,A,7.32,0.17,A,0.05,0.08,A,1.52,0.06,A,,,ND,,,,[+2 to +4],DFMQ,,,0.763,0.037,A,0.198,0.007,A,F,94.81,57.3568189,4.799071828,diamond,#029e73,N,N,N,N,IaconoMarziano,3856.502721,135.5708996,0.889167422,0.01761047,0.110832578,0.01761047
